zip_ref;municipio;CCAA;provincia;lat;lon
03550;Sant Joan d'Alacant;C. Valenciana;Alicante;38.404606458928086;-0.42858003579891796
03559;Alicante;C. Valenciana;Alicante;38.3888335699607;-0.4621378013086405
03560;El Campello;C. Valenciana;Alicante;38.46225222155747;-0.37272254351391143
03569;Aigües;C. Valenciana;Alicante;38.51005836568944;-0.36332377334004584
03570;Villajoyosa;C. Valenciana;Alicante;38.521023919997994;-0.25150554251212937
03578;Relleu;C. Valenciana;Alicante;38.571362353874676;-0.3394691563826101
03579;Sella;C. Valenciana;Alicante;38.59327075621615;-0.2791658077895895
03580;L'Alfàs del Pi;C. Valenciana;Alicante;38.58636271314247;-0.0993093936979878
03581;L'Alfàs del Pi;C. Valenciana;Alicante;38.56524066959277;-0.07110981347133251
03590;Altea;C. Valenciana;Alicante;38.60683921049558;-0.0589655965521582
03599;Altea;C. Valenciana;Alicante;38.638753933931156;-0.039461913308718545
03600;Elda;C. Valenciana;Alicante;38.4867679544689;-0.8161933256506186
03610;Petrer;C. Valenciana;Alicante;38.49216521729715;-0.731581952282099
03630;Sax;C. Valenciana;Alicante;38.538846810341155;-0.8089051359726167
03638;Salinas;C. Valenciana;Alicante;38.51529520667339;-0.9369996996795825
